Epsilon,RayleighNumber,ThreeD,nz,nx,ny,Nu_mean,Nu_mean-min,Nu_max-mean,Re,Ma_mean,Ma_mean-min,Ma_max-mean,n_rho_max,n_rho_boundaries
0.0001,4640,0,128,512,0,12.19066115,0.09540338814,0.2159646004,232.1310167,0.007875622169,0.005910791808,0.009498507218,2.999266624,2.999546766
0.0001,6810,0,128,512,0,14.62763522,0.1051714183,0.2021072148,323.6345593,0.008777251017,0.006429848295,0.009884361018,2.999260902,2.999582767
0.0001,10000,0,128,512,0,15.20781694,0.1378029398,0.3163014837,391.3824907,0.009295102654,0.00711428878,0.01167464468,2.999277592,2.99959898
0.0001,10000,1,128,256,256,11.91574439,0.3976617711,1.336561595,115.0555394,0.002852761069,0.001133171023,0.003110767332,2.999392271,2.999812603
0.0001,14700,0,192,768,0,17.46479434,0.5582105589,1.302766614,509.7669768,0.009862140129,0.007489563425,0.01207375573,2.999527216,2.999764919
0.0001,21500,0,192,768,0,16.0516667,0.05824037915,0.02587655658,606.2890005,0.01015266685,0.007958465604,0.0134861884,2.999652386,2.999811649
0.0001,31600,0,192,768,0,20.03120715,0.3878832564,0.9068536058,828.2893607,0.01145927551,0.008866038068,0.01517396182,2.999487877,2.999701023
0.0001,46400,0,192,768,0,24.32951128,0.5259071513,0.9576953725,1120.389496,0.01314596354,0.01020283839,0.01792331478,2.999443531,2.999633551
0.0001,68100,0,256,1024,0,23.32623667,0.454072902,0.5507603195,1314.402679,0.0134351962,0.01052968601,0.0197261018,2.999520302,2.999593496
0.0001,100000,0,256,1024,0,27.83169772,0.4721491523,0.4175908379,1766.70038,0.01495909409,0.01168048818,0.02191513342,2.999349117,2.999399662
0.0001,100000,1,256,512,512,21.11378507,1.685993479,4.738570882,319.8404674,0.00246422364,0.00107267207,0.00289677037,2.99966073,2.999763966
0.0001,147000,0,256,1024,0,36.3812142,1.851154383,2.938621465,2427.102432,0.01721056191,0.01364149567,0.02575839851,2.999421597,2.999490261
0.0001,215000,0,256,1024,0,38.92958657,2.43276421,4.357927166,2987.799539,0.01785295452,0.01431954645,0.02733375587,2.999377489,2.999438286
0.0001,316000,0,256,1024,0,44.63089344,3.001464572,5.011955533,3935.62077,0.01925204087,0.0157142536,0.02935996027,2.999313831,2.999350071
0.0001,464000,0,384,1536,0,42.8863115,5.985066385,8.39956954,4340.876498,0.01812652656,0.01488879875,0.02864371315,2.999543428,2.999599457
0.0001,681000,0,384,1536,0,51.48442232,4.937375663,8.451143624,6230.831514,0.02246381491,0.01888062878,0.03688297909,2.999520302,2.999556303
0.0001,1000000,0,512,2048,0,69.67897819,15.79805015,28.24194314,7684.292125,0.02098135904,0.01739135538,0.03145869492,2.999503613,2.999530554
0.0001,1000000,1,256,512,512,38.49680756,4.709053506,12.54051162,920.2094219,0.002261608272,0.001017609925,0.002842043949,2.999637842,2.99973917
0.5,14.7,0,64,256,0,1.444483157,0.002614494515,0.002984169768,2.245952114,0.08195506036,0.03727758096,0.1034379394,2.896304369,2.899871826
0.5,21.5,0,64,256,0,2.11786692,0.005627320945,0.006219221413,4.899939868,0.1450264593,0.06549785438,0.1806073656,2.76847744,2.772202969
0.5,31.6,0,64,256,0,2.635389767,0.0004310229633,0.0004566094067,7.203454642,0.1742399591,0.07882747722,0.216095386,2.680228949,2.683929443
0.5,46.4,0,64,256,0,3.087009589,5.50E-05,0.000242312437,9.707846957,0.19379217,0.08851033878,0.2418623297,2.610434294,2.613925695
0.5,68.1,0,64,256,0,3.383473021,0.00573192212,0.006205457717,12.17813897,0.2087725429,0.1022612067,0.2915016415,2.568255663,2.571601629
0.5,100,0,64,256,0,3.723148187,0.005611499199,0.006287972084,15.21989924,0.2221205244,0.1136234451,0.3340721141,2.519333839,2.522582531
0.5,100,1,64,128,128,3.419451511,0.1120925304,0.05917521746,13.41933047,0.2116079893,0.08387829711,0.3276856287,2.562721491,2.565953732
0.5,147,0,128,512,0,4.679323399,0.005058967819,0.009409702072,21.20545441,0.2449637397,0.1166705385,0.3210936792,2.394469976,2.395275116
0.5,215,0,128,512,0,5.378611009,0.008856694887,0.01564224463,27.44435991,0.2633928992,0.1259627999,0.3469639426,2.307288885,2.306210041
0.5,316,0,128,512,0,5.911428343,0.009683977731,0.02720223748,34.725549,0.2825557924,0.1397530376,0.4075934748,2.238970518,2.235468388
0.5,464,0,128,512,0,6.782440868,0.005163398478,0.01455810955,46.21617395,0.3070531181,0.1542991593,0.4428734166,2.132383585,2.12461257
0.5,681,0,128,512,0,7.262125594,0.01820240648,0.05281152098,60.53017754,0.3419882137,0.1952879017,0.5712067332,2.071707726,2.061840773
0.5,1000,0,128,512,0,7.869642343,0.03684767658,0.09331265514,83.01873333,0.388573575,0.2582747874,0.7138803219,1.976219058,1.963163018
0.5,1000,1,128,256,256,6.831801633,0.2540309228,0.1782119475,46.02955626,0.2322128784,0.07994005445,0.380866313,2.193354607,2.187907457
0.5,1470,0,128,512,0,9.365434363,0.05238313886,0.1073105791,122.7847632,0.4681133748,0.3230959143,0.8877665415,1.806256652,1.784028292
0.5,2150,0,128,512,0,10.46795128,0.07906673102,0.2152114138,160.9766373,0.5222599794,0.36637836,1.045468806,1.784099102,1.754926801
0.5,3160,0,128,512,0,12.08556019,0.0584920552,0.1117712352,216.1096033,0.580383558,0.4110519668,1.17475701,1.68184495,1.642953634
0.5,4640,0,128,512,0,14.67385829,0.2123047141,0.466805813,295.4076676,0.6499903836,0.4665366977,1.320001152,1.482602954,1.423602819
0.5,6810,0,128,512,0,17.61937036,0.1705273531,0.3582984067,395.0077903,0.6815031624,0.4264977787,1.220613119,1.44674921,1.184166074
0.5,10000,0,128,512,0,18.68588503,0.3836503817,0.6296362089,487.3533936,0.741216898,0.5397797071,1.496410647,1.509873152,1.236284614
0.5,10000,1,128,256,256,12.89008656,0.6154102382,0.3017869893,146.9208077,0.2339282561,0.08331806538,0.4477923733,1.830055118,1.809679747
0.5,14700,0,128,512,0,20.18084603,0.1656978697,0.3969280153,625.8341293,0.7798498218,0.5698410598,1.532126411,1.548821568,1.181443334
0.5,21500,0,256,1024,0,21.87945205,0.1991561106,0.6601502248,784.2888941,0.8172836262,0.6018160833,1.613260498,1.638451099,1.182792187
0.5,31600,0,256,1024,0,23.35094432,0.4270894949,0.7997781808,954.161025,0.8283987882,0.6141809014,1.616074846,1.712590218,1.218895316
0.5,46400,0,256,1024,0,24.69653275,0.3192858929,0.8325886494,1162.500632,0.8352058546,0.6190696418,1.581374441,1.768802047,1.2296772
0.5,68100,0,256,1024,0,24.25045903,0.2264359741,0.5311724396,1261.878883,0.7506984656,0.5331622572,1.381551216,1.838543534,1.37269938
0.5,100000,0,256,1024,0,30.13961484,0.1483695711,0.3887588774,1677.070532,0.7129912455,0.3406450612,0.8676537817,1.697870255,1.030439019
0.5,100000,1,256,512,512,23.04522691,1.037422043,1.414085525,429.6338557,0.2143246469,0.07897734297,0.4311670371,1.94942832,1.594497442
0.5,147000,0,256,1024,0,32.82927243,0.2058822287,0.5404365884,2030.800848,0.7045540751,0.3243373275,0.8031713658,1.727475643,1.010136485
0.5,215000,0,256,1024,0,35.24135124,0.4766837299,0.7699326336,2461.708956,0.6915666926,0.3037176552,0.733393965,1.771981001,0.9971979856
0.5,316000,0,256,1024,0,37.69083888,0.3640108815,0.7026623973,3019.490842,0.6871772314,0.2823895446,0.6789663317,1.811099887,1.005617499
0.5,464000,0,256,1024,0,41.0859686,0.536568269,1.159308806,3685.019217,0.6924713124,0.2829980309,0.6737178047,1.836000919,0.9911672473
0.5,681000,0,384,1536,0,44.62331605,1.222204443,1.734704737,4448.831772,0.6844053964,0.271252478,0.6467254814,1.871585608,0.9992216825
0.5,1000000,0,512,2048,0,45.85681367,1.896738291,3.762048483,4943.728864,0.643745874,0.2427285857,0.6220172184,1.948352098,1.11203897
0.5,1000000,1,256,512,512,40.53048832,0.7247937412,0.6644350796,1291.610309,0.2043751425,0.08407040035,0.4636512109,2.14562583,1.467980027
0.5,1470000,0,512,2048,0,50.48531206,0.5658861004,1.418248574,6530.032116,0.6865127286,0.2551419946,0.6107055306,1.933745265,1.029291391
0.5,2150000,0,512,2048,0,52.19200883,1.934131483,3.118278643,6898.72598,0.5983417267,0.1649005957,0.4658278331,2.035756588,1.159314871
0.5,3160000,0,512,2048,0,58.67177329,1.473756171,1.928667688,9108.916169,0.6499398859,0.2175167937,0.532573489,2.015334129,1.073106527
0.5,4640000,0,512,2048,0,60.07252131,3.842697248,7.150981799,10135.35849,0.5921676768,0.1426883952,0.4063904761,2.079616785,1.151216507
0.5,6810000,0,768,3072,0,66.37547761,6.254898843,12.74322051,12181.74923,0.5901751421,0.1354409567,0.3910037883,2.121744156,1.179460645
0.5,10000000,0,768,3072,0,69.1083234,8.108857454,17.0355441,13771.71247,0.5527817205,0.1040399207,0.3229615571,2.166210175,1.208882689
0.5,21500000,0,1024,4096,0,88.25726075,9.516736462,17.14792113,21760.02329,0.5912701105,0.1327605632,0.3605426718,2.174511194,1.133749604
0.5,46400000,0,1024,4096,0,133.619661,15.47742616,22.93633879,27996.90985,0.5268951751,0.1120948113,0.2537777467,2.272776842,1.215071321
1,31.6,0,128,1024,0,2.928375662,0.04152149071,0.001983462678,7.961582908,0.2871048426,0.1231491003,2.098682511,2.11716795,2.108494997
1,46.4,0,128,1024,0,3.450222476,0.001137240179,0.0005293056893,10.76791792,0.3164516228,0.1360316809,2.304834341,2.046790361,2.024021149
1,68.1,0,128,1024,0,4.01730268,0.001074480662,0.0004571202905,14.20477942,0.3437497855,0.1489491994,2.506023479,1.949443579,1.912682414
1,100,0,128,1024,0,4.670267619,0.001150644797,0.0004725088895,18.500299,0.3710256332,0.1621855574,2.714279484,1.831316352,1.781158447
1,147,0,128,1024,0,5.41332772,0.00147917517,0.001604053895,23.8992117,0.3988840726,0.1756338426,2.9435701,1.70669055,1.644198179
1,215,0,128,1024,0,6.271123061,0.002650389897,0.005806793941,30.90752899,0.4293902841,0.189683838,3.197149804,1.573651433,1.498690963
1,316,0,128,1024,0,6.015379388,0.02952476193,0.06280521702,33.8190133,0.4729913507,0.2766915813,4.628675391,1.362543583,1.301351547
1,464,0,128,1024,0,6.841559951,0.0160556477,0.02680724445,44.84411579,0.5211733581,0.3394867159,5.30985238,1.203592062,1.133159995
1,681,0,128,1024,0,8.152391944,0.03396180618,0.0582070018,62.50031165,0.5790729881,0.3901747377,5.850238215,1.001740694,0.9096953869
1,1000,0,128,1024,0,9.727239471,0.03384480962,0.05719103327,87.05409136,0.6442221851,0.4475487501,6.452448452,0.9328225851,0.6803179979
1,1470,0,128,1024,0,11.49803556,0.05445111815,0.08811937745,118.6297727,0.7093039124,0.5016127853,7.069500417,0.953009963,0.4464078546
1,2150,0,128,1024,0,13.18679676,0.07778129631,0.1094898219,156.0708126,0.7609540156,0.5379840155,7.509115971,0.9769297242,0.2706722617
1,3160,0,256,1024,0,18.43715848,0.05227841156,0.1688634036,220.6617884,0.7382593471,0.2994920957,5.009333073,1.281104207,0.08416248113
1,4640,0,256,1024,0,20.46510042,0.09166635283,0.330847609,276.3690638,0.7606738947,0.3011715095,5.028054371,1.388945341,-0.1132645458
1,6810,0,256,1024,0,16.27038001,0.111469259,0.0608921149,305.7073344,0.8308359243,0.5869753913,7.572316894,1.092776418,-0.06591485441
1,10000,0,256,1024,0,20.42868989,0.2066554318,0.2443867435,397.6929621,0.7910300515,0.3495152497,5.494435888,1.262419462,-0.209976837
1,10000,1,128,256,256,16.10094975,0.9856934431,0.1484875796,176.8351623,0.3925838622,0.1306384051,3.779792763,1.24444294,0.41027987
1,14700,0,256,1024,0,21.68093859,0.2463568337,0.2596799248,497.2984459,0.7948920691,0.3452199141,5.152090672,1.30850935,-0.2229091674
1,21500,0,256,1024,0,18.7620086,0.09013551036,0.03830534657,499.7192297,0.7749616657,0.5181633065,6.171665906,1.358442903,0.1564240009
1,31600,0,256,1024,0,25.73814861,0.2397450628,0.3992090998,756.4369187,0.8127585753,0.3418710846,4.915597144,1.455137014,-0.3757017255
1,46400,0,512,2048,0,28.65595813,0.3737830676,0.3353691541,925.7148496,0.8272365159,0.3501802719,4.917554951,1.571527481,-0.4606889486
1,68100,0,512,2048,0,30.92085131,0.8108220934,0.8336938978,1085.260849,0.8143377191,0.3539888151,4.795819003,1.614267588,-0.4631545842
1,100000,0,512,2048,0,33.59923965,0.4084170463,1.025169074,1356.436662,0.8198769197,0.3321557383,4.508580854,1.715688229,-0.5526848435
1,100000,1,256,512,512,29.66955752,1.896652175,0.4380150309,562.3999056,0.3804773756,0.135154999,3.71276524,1.673460841,-0.2183842063
